frame_id,template_id,scene,intent,source_pattern,target_pattern,slot_types,old_expanded_phrase_count,full_combination_capacity,template_added
FRAME-001,FTPL-001,basic,want_action,我想{daily_action}。,我想{daily_action}。,daily_action,43,50,true
FRAME-002,FTPL-002,basic,refuse_action,我不想{daily_action}。,我唔想{daily_action}。,daily_action,50,50,true
FRAME-003,FTPL-003,basic,request_help,你可以帮我{daily_action}吗？,你可唔可以幫我{daily_action}呀？,daily_action,50,50,true
FRAME-004,FTPL-004,basic,request_help,请帮我{daily_action}。,唔該幫我{daily_action}。,daily_action,50,50,true
FRAME-005,FTPL-005,basic,not_yet,我还没有{daily_action}。,我仲未{daily_action}。,daily_action,49,50,true
FRAME-006,FTPL-006,basic,completed,我已经{daily_action}了。,我已經{daily_action}咗。,daily_action,49,50,true
FRAME-007,FTPL-007,basic,progressive,我正在{daily_action}。,我{daily_action}緊。,daily_action,50,50,true
FRAME-008,FTPL-008,basic,why_negative,你为什么不{daily_action}？,你點解唔{daily_action}呀？,daily_action,50,50,true
FRAME-009,FTPL-009,basic,when_question,你什么时候{daily_action}？,你幾時{daily_action}呀？,daily_action,50,50,true
FRAME-010,FTPL-010,basic,suggestion,我们一起{daily_action}吧。,我哋一齊{daily_action}啦。,daily_action,49,50,true
FRAME-011,FTPL-011,basic,reminder,别忘了{daily_action}。,記住要{daily_action}呀。,daily_action,50,50,true
FRAME-012,FTPL-012,basic,future_action,{future_time}我会{daily_action}。,{future_time}我會{daily_action}。,"future_time,daily_action",104,1050,true
FRAME-013,FTPL-013,basic,availability,{future_time}你有空吗？,{future_time}你得唔得閒呀？,future_time,21,21,true
FRAME-014,FTPL-014,basic,location_unknown,我不知道{place}在哪里。,我唔知{place}喺邊度。,place,35,35,true
FRAME-015,FTPL-015,basic,meet_wait,我在{place}等你。,我喺{place}等你。,place,35,35,true
FRAME-016,FTPL-016,basic,arrival_notice,你到{place}以后告诉我。,你到咗{place}之後話我知。,place,35,35,true
FRAME-017,FTPL-017,basic,lost_item,我找不到{item}。,我搵唔到{item}。,item,50,50,true
FRAME-018,FTPL-018,basic,item_location,{item}在哪里？,{item}喺邊度呀？,item,50,50,true
FRAME-019,FTPL-019,basic,give_item,请把{item}给我。,唔該畀{item}我。,item,50,50,true
FRAME-020,FTPL-020,basic,possession,这是{person}的{item}。,呢個係{person}嘅{item}。,"person,item",120,750,true
FRAME-021,FTPL-021,dining,order_food,我要一份{food}。,我要一份{food}。,food,12,50,true
FRAME-022,FTPL-022,dining,order_drink,我要一杯{drink_plain}。,我要一杯{drink_plain}。,drink_plain,2,19,true
FRAME-023,FTPL-023,dining,order_request,请给我{food}。,唔該畀份{food}我。,food,50,50,true
FRAME-024,FTPL-024,dining,order_request,请给我{drink_plain}。,唔該畀{drink_plain}我。,drink_plain,19,19,true
FRAME-025,FTPL-025,dining,availability,有没有{food}？,有冇{food}呀？,food,50,50,true
FRAME-026,FTPL-026,dining,availability,有没有{drink_plain}？,有冇{drink_plain}呀？,drink_plain,19,19,true
FRAME-027,FTPL-027,dining,dietary_restriction,我不吃{ingredient}。,我唔食{ingredient}。,ingredient,20,20,true
FRAME-028,FTPL-028,dining,allergy,我对{ingredient}过敏。,我對{ingredient}敏感。,ingredient,19,20,true
FRAME-029,FTPL-029,dining,remove_ingredient,请不要放{ingredient}。,唔該唔好落{ingredient}。,ingredient,20,20,true
FRAME-030,FTPL-030,dining,custom_order,{food}不要放{ingredient}。,{food}唔好落{ingredient}。,"food,ingredient",160,1000,true
FRAME-031,FTPL-031,dining,custom_drink,{drink_customizable}少一点{drink_additive}。,{drink_customizable}少啲{drink_additive}。,"drink_customizable,drink_additive",48,48,true
FRAME-032,FTPL-032,dining,quality_question,这个{food}好吃吗？,呢份{food}好唔好食呀？,food,50,50,true
FRAME-033,FTPL-033,dining,order_status,{food}什么时候上？,{food}幾時上呀？,food,50,50,true
FRAME-034,FTPL-034,dining,missing_order,我点的{food}还没来。,我嗌嘅{food}仲未嚟。,food,50,50,true
FRAME-035,FTPL-035,dining,repeat_order,请再给我一份{food}。,唔該再畀一份{food}我。,food,50,50,true
FRAME-036,FTPL-036,dining,repeat_order,请再给我一杯{drink_plain}。,唔該再畀一杯{drink_plain}我。,drink_plain,19,19,true
FRAME-037,FTPL-037,dining,takeaway,这个{food}可以打包吗？,呢份{food}可唔可以拎走呀？,food,50,50,true
FRAME-038,FTPL-038,dining,packing_request,请把{food}分开装。,唔該將{food}分開裝。,food,50,50,true
FRAME-039,FTPL-039,dining,change_order,我想换成{food}。,我想轉做{food}。,food,50,50,true
FRAME-040,FTPL-040,dining,menu_question,这里可以点{food}吗？,呢度可唔可以嗌{food}呀？,food,50,50,true
FRAME-041,FTPL-041,shopping,buy_item,我想买{product_item}。,我想買{product_item}。,product_item,10,34,true
FRAME-042,FTPL-042,shopping,availability,你们有没有{product_item}？,你哋有冇{product_item}呀？,product_item,34,34,true
FRAME-043,FTPL-043,shopping,price,这个{product_item}多少钱？,呢個{product_item}幾多錢呀？,product_item,34,34,true
FRAME-044,FTPL-044,shopping,try_item,我可以试一下{tryable_item}吗？,我可唔可以試下{tryable_item}呀？,tryable_item,28,31,true
FRAME-045,FTPL-045,shopping,return_policy,这个{product_item}可以退吗？,呢個{product_item}可唔可以退呀？,product_item,34,34,true
FRAME-046,FTPL-046,shopping,warranty,这个{warranty_item}有保修吗？,呢個{warranty_item}有冇保養呀？,warranty_item,11,11,true
FRAME-047,FTPL-047,shopping,exchange,我想换一个{product_item}。,我想換一個{product_item}。,product_item,10,34,true
FRAME-048,FTPL-048,shopping,color_choice,有没有{color}的{clothes}？,有冇{color}嘅{clothes}呀？,"color,clothes",180,375,true
FRAME-049,FTPL-049,shopping,size_choice,我要{size}的{clothes}。,我要{size}嘅{clothes}。,"size,clothes",150,250,true
FRAME-050,FTPL-050,shopping,size_problem,这件{clothes}太大了。,呢件{clothes}太大喇。,clothes,25,25,true
FRAME-051,FTPL-051,shopping,size_problem,这件{clothes}太小了。,呢件{clothes}太細喇。,clothes,25,25,true
FRAME-052,FTPL-052,shopping,larger_size,有没有大一点的{clothes}？,有冇大啲嘅{clothes}呀？,clothes,25,25,true
FRAME-053,FTPL-053,shopping,smaller_size,有没有小一点的{clothes}？,有冇細啲嘅{clothes}呀？,clothes,25,25,true
FRAME-054,FTPL-054,shopping,bargain,这个{product_item}能便宜一点吗？,呢個{product_item}可唔可以平啲呀？,product_item,34,34,true
FRAME-055,FTPL-055,shopping,select_item,我只要这个{product_item}。,我淨係要呢個{product_item}。,product_item,34,34,true
FRAME-056,FTPL-056,shopping,packing,请把{product_item}装进袋子。,唔該將{product_item}放入袋。,product_item,34,34,true
FRAME-057,FTPL-057,shopping,payment,这个{product_item}可以刷卡吗？,買呢個{product_item}可唔可以碌卡呀？,product_item,34,34,true
FRAME-058,FTPL-058,shopping,browse_more,我想看看别的{product_item}。,我想睇下其他{product_item}。,product_item,34,34,true
FRAME-059,FTPL-059,shopping,brand_question,这个{brand_item}是什么牌子？,呢個{brand_item}係咩牌子呀？,brand_item,15,15,true
FRAME-060,FTPL-060,shopping,other_colors,这个{product_item}有别的颜色吗？,呢個{product_item}有冇其他顏色呀？,product_item,34,34,true
FRAME-061,FTPL-061,transport,destination,我要去{place}。,我要去{place}。,place,8,35,true
FRAME-062,FTPL-062,transport,directions,怎么去{place}？,點去{place}呀？,place,33,35,true
FRAME-063,FTPL-063,transport,duration,从这里到{place}要多久？,由呢度去{place}要幾耐呀？,place,35,35,true
FRAME-064,FTPL-064,transport,fare,从这里到{place}多少钱？,由呢度去{place}要幾多錢呀？,place,35,35,true
FRAME-065,FTPL-065,transport,route_question,这班车到{route_place}吗？,呢班車去唔去{route_place}呀？,route_place,25,25,true
FRAME-066,FTPL-066,transport,stop_request,请在{route_place}停车。,唔該喺{route_place}停車。,route_place,25,25,true
FRAME-067,FTPL-067,transport,arrival_alert,到了{route_place}请告诉我。,到咗{route_place}唔該話我知。,route_place,25,25,true
FRAME-068,FTPL-068,transport,stop_question,去{route_place}应该在哪一站下车？,去{route_place}應該喺邊個站落車呀？,route_place,25,25,true
FRAME-069,FTPL-069,transport,transfer_question,去{route_place}需要转车吗？,去{route_place}使唔使轉車呀？,route_place,25,25,true
FRAME-070,FTPL-070,transport,late_service,{time}还有车去{route_place}吗？,{time}仲有冇車去{route_place}呀？,"time,route_place",110,625,true
FRAME-071,FTPL-071,transport,ticket,我想买去{ticket_place}的票。,我想買去{ticket_place}嘅飛。,ticket_place,7,7,true
FRAME-072,FTPL-072,transport,ticket_price,去{ticket_place}的车票多少钱？,去{ticket_place}嘅車飛幾多錢呀？,ticket_place,7,7,true
FRAME-073,FTPL-073,transport,departure_time,下一班去{ticket_place}的车几点开？,下一班去{ticket_place}嘅車幾點開呀？,ticket_place,7,7,true
FRAME-074,FTPL-074,transport,return_directions,从{place}回来怎么走？,由{place}返嚟點行呀？,place,35,35,true
FRAME-075,FTPL-075,transport,lost,我在{place}迷路了。,我喺{place}蕩失路。,place,35,35,true
FRAME-076,FTPL-076,transport,distance,{place}离这里远吗？,{place}離呢度遠唔遠呀？,place,35,35,true
FRAME-077,FTPL-077,transport,ride_request,可以送我到{route_place}吗？,可唔可以車我去{route_place}呀？,route_place,25,25,true
FRAME-078,FTPL-078,transport,route_preference,请走最快的路线去{route_place}。,唔該行最快嗰條路去{route_place}。,route_place,25,25,true
FRAME-079,FTPL-079,transport,route_avoid,请不要走高速去{route_place}。,唔該唔好行高速去{route_place}。,route_place,25,25,true
FRAME-080,FTPL-080,transport,waiting,我在{place}等车。,我喺{place}等車。,place,35,35,true
FRAME-081,FTPL-081,hotel,missing_amenity,房间里没有{room_item}。,間房冇{room_item}。,room_item,25,25,true
FRAME-082,FTPL-082,hotel,broken_amenity,房间里的{room_item}坏了。,間房嘅{room_item}壞咗。,room_item,25,25,true
FRAME-083,FTPL-083,hotel,amenity_request,请送{requestable_room_item}到房间。,唔該送{requestable_room_item}上房。,requestable_room_item,13,13,true
FRAME-084,FTPL-084,hotel,amenity_request,我需要{requestable_room_item}。,我需要{requestable_room_item}。,requestable_room_item,6,13,true
FRAME-085,FTPL-085,hotel,service_request,请帮我{service}。,唔該幫我{service}。,service,23,25,true
FRAME-086,FTPL-086,hotel,service_availability,这里可以{service}吗？,呢度可唔可以{service}呀？,service,25,25,true
FRAME-087,FTPL-087,hotel,service_price,{measurable_service}要多少钱？,{measurable_service}要幾多錢呀？,measurable_service,16,16,true
FRAME-088,FTPL-088,hotel,service_duration,{measurable_service}需要多久？,{measurable_service}要幾耐呀？,measurable_service,16,16,true
FRAME-089,FTPL-089,hotel,service_schedule,我想在{schedule_time}{scheduled_service}。,我想喺{schedule_time}{scheduled_service}。,"schedule_time,scheduled_service",90,270,true
FRAME-090,FTPL-090,hotel,reservation,我预订了{booking_time}的房间。,我訂咗{booking_time}嘅房。,booking_time,8,8,true
FRAME-091,FTPL-091,hotel,late_checkout,我想把退房时间改到{checkout_time}。,我想將退房時間改到{checkout_time}。,checkout_time,6,6,true
FRAME-092,FTPL-092,hotel,wake_call,请在{schedule_time}叫醒我。,唔該{schedule_time}叫醒我。,schedule_time,18,18,true
FRAME-093,FTPL-093,hotel,left_item,我把{storage_item}落在房间了。,我漏低咗{storage_item}喺間房。,storage_item,21,21,true
FRAME-094,FTPL-094,hotel,front_desk_item,前台有没有{storage_item}？,前台有冇{storage_item}呀？,storage_item,21,21,true
FRAME-095,FTPL-095,hotel,storage,请保管我的{storage_item}。,唔該幫我保管{storage_item}。,storage_item,21,21,true
FRAME-096,FTPL-096,hotel,storage,我想把{storage_item}寄存在这里。,我想將{storage_item}寄存喺呢度。,storage_item,21,21,true
FRAME-097,FTPL-097,work,send_document,请把{document}发给我。,唔該將{document}send畀我。,document,29,30,true
FRAME-098,FTPL-098,work,reviewed_document,我已经看过{document}了。,我已經睇過{document}喇。,document,30,30,true
FRAME-099,FTPL-099,work,missing_document,我还没有收到{document}。,我仲未收到{document}。,document,30,30,true
FRAME-100,FTPL-100,work,confirm_document,请确认{document}。,唔該確認{document}。,document,30,30,true
FRAME-101,FTPL-101,work,modify_document,我需要修改{document}。,我需要改{document}。,document,30,30,true
FRAME-102,FTPL-102,work,deadline,{deliverable_document}什么时候完成？,{deliverable_document}幾時完成呀？,deliverable_document,20,20,true
FRAME-103,FTPL-103,work,document_problem,{document}有问题。,{document}有問題。,document,8,30,true
FRAME-104,FTPL-104,work,resend_document,请重新发送{document}。,唔該重新send{document}。,document,30,30,true
FRAME-105,FTPL-105,work,print_document,请把{document}打印出来。,唔該印{document}出嚟。,document,30,30,true
FRAME-106,FTPL-106,work,attachment,我把{document}放在附件里了。,我將{document}放咗喺附件。,document,30,30,true
FRAME-107,FTPL-107,work,task_today,我今天要{work_action}。,我今日要{work_action}。,work_action,40,40,true
FRAME-108,FTPL-108,work,task_tomorrow,我明天会{work_action}。,我聽日會{work_action}。,work_action,40,40,true
FRAME-109,FTPL-109,work,task_not_yet,我还没有{work_action}。,我仲未{work_action}。,work_action,40,40,true
FRAME-110,FTPL-110,work,task_done,我已经{work_action}了。,我已經{work_action}咗。,work_action,40,40,true
FRAME-111,FTPL-111,work,task_help,你可以帮我{work_action}吗？,你可唔可以幫我{work_action}呀？,work_action,40,40,true
FRAME-112,FTPL-112,work,task_when,我们什么时候{work_action}？,我哋幾時{work_action}呀？,work_action,40,40,true
FRAME-113,FTPL-113,work,task_why,为什么要{work_action}？,點解要{work_action}呀？,work_action,40,40,true
FRAME-114,FTPL-114,work,task_schedule,{time}方便{work_action}吗？,{time}方唔方便{work_action}呀？,"time,work_action",140,1000,true
FRAME-115,FTPL-115,work,deadline_request,请在{deadline_time}之前{work_action}。,唔該喺{deadline_time}之前{work_action}。,"deadline_time,work_action",120,400,true
FRAME-116,FTPL-116,work,completion_notice,{work_action}以后告诉我。,{work_action}之後話我知。,work_action,40,40,true
FRAME-117,FTPL-117,medical,pain,我{body}痛。,我{body}痛。,body,10,25,true
FRAME-118,FTPL-118,medical,discomfort,我的{body}不舒服。,我嘅{body}唔舒服。,body,25,25,true
FRAME-119,FTPL-119,medical,injury,我的{body}受伤了。,我嘅{body}整親咗。,body,25,25,true
FRAME-120,FTPL-120,medical,symptom,我{symptom}。,我{symptom}。,symptom,10,30,true
FRAME-121,FTPL-121,medical,symptom_duration,我{duration_symptom}{duration_simple}了。,我{duration_symptom}{duration_simple}喇。,"duration_symptom,duration_simple",90,210,true
FRAME-122,FTPL-122,medical,severity,{severity_symptom}严重吗？,{severity_symptom}嚴唔嚴重呀？,severity_symptom,26,26,true
FRAME-123,FTPL-123,medical,medicine_request,我需要治疗{treatable_symptom}的药。,我想要醫{treatable_symptom}嘅藥。,treatable_symptom,20,20,true
FRAME-124,FTPL-124,medical,dosage,这种{ingestible_medicine}怎么吃？,呢種{ingestible_medicine}點食呀？,ingestible_medicine,9,9,true
FRAME-125,FTPL-125,medical,frequency,{ingestible_medicine}一天吃几次？,{ingestible_medicine}一日食幾多次呀？,ingestible_medicine,9,9,true
FRAME-126,FTPL-126,medical,side_effect,吃{ingestible_medicine}会困吗？,食{ingestible_medicine}會唔會眼瞓呀？,ingestible_medicine,9,9,true
FRAME-127,FTPL-127,medical,drug_allergy,我对{ingestible_medicine}过敏。,我對{ingestible_medicine}敏感。,ingestible_medicine,9,9,true
FRAME-128,FTPL-128,medical,drug_question,我可以同时吃{ingestible_medicine}吗？,我可唔可以同時食{ingestible_medicine}呀？,ingestible_medicine,9,9,true
FRAME-129,FTPL-129,medical,missing_medicine,我没有带{ingestible_medicine}。,我冇帶{ingestible_medicine}。,ingestible_medicine,9,9,true
FRAME-130,FTPL-130,medical,buy_medicine,请帮我买{ingestible_medicine}。,唔該幫我買{ingestible_medicine}。,ingestible_medicine,9,9,true
FRAME-131,FTPL-131,medical,pharmacy,附近哪里可以买到{ingestible_medicine}？,附近邊度買到{ingestible_medicine}呀？,ingestible_medicine,9,9,true
FRAME-132,FTPL-132,medical,rest_duration,医生说我要休息{duration_simple}。,醫生話我要休息{duration_simple}。,duration_simple,10,10,true
FRAME-133,FTPL-133,medical,duration,这个症状持续了{duration_simple}。,呢個症狀持續咗{duration_simple}。,duration_simple,10,10,true
FRAME-134,FTPL-134,medical,medicine_history,我{past_time}吃过{ingestible_medicine}。,我{past_time}食過{ingestible_medicine}。,"past_time,ingestible_medicine",54,54,true
FRAME-135,FTPL-135,daily,person_progressive,{person}正在{daily_action}。,{person}{daily_action}緊。,"person,daily_action",130,750,true
FRAME-136,FTPL-136,daily,person_completed,{person}已经{daily_action}了。,{person}已經{daily_action}咗。,"person,daily_action",130,750,true
FRAME-137,FTPL-137,daily,person_not_yet,{person}还没有{daily_action}。,{person}仲未{daily_action}。,"person,daily_action",130,750,true
FRAME-138,FTPL-138,daily,preference,{person}喜欢{daily_action}。,{person}鍾意{daily_action}。,"person,daily_action",140,750,true
FRAME-139,FTPL-139,daily,dislike,{person}不喜欢{daily_action}。,{person}唔鍾意{daily_action}。,"person,daily_action",140,750,true
FRAME-140,FTPL-140,daily,invitation,你要不要和{leisure_person}一起{social_action}？,你要唔要同{leisure_person}一齊{social_action}呀？,"leisure_person,social_action",60,60,true
FRAME-141,FTPL-141,daily,plan,{time}一起{daily_action}好吗？,{time}一齊{daily_action}好唔好呀？,"time,daily_action",140,1250,true
FRAME-142,FTPL-142,daily,meet,我想和{person_social}在{place_local}见面。,我想同{person_social}喺{place_local}見面。,"person_social,place_local",120,240,true
FRAME-143,FTPL-143,daily,waiting,{person_social}在{place_local}等我。,{person_social}喺{place_local}等我。,"person_social,place_local",120,240,true
FRAME-144,FTPL-144,daily,item_placed,我把{storage_item}放在{place_local}了。,我將{storage_item}放咗喺{place_local}。,"storage_item,place_local",140,504,true
FRAME-145,FTPL-145,daily,move_item,请把{storage_item}拿到{place_local}。,唔該將{storage_item}攞去{place_local}。,"storage_item,place_local",140,504,true
FRAME-146,FTPL-146,daily,forgot_item,我忘了带{item}。,我唔記得帶{item}。,item,50,50,true
FRAME-147,FTPL-147,daily,find_item,你有没有看到我的{item}？,你有冇見到我嘅{item}呀？,item,50,50,true
FRAME-148,FTPL-148,daily,ownership_question,这个{item}是谁的？,呢個{item}係邊個㗎？,item,50,50,true
FRAME-149,FTPL-149,daily,broken_item,{item}坏了。,{item}壞咗。,item,49,50,true
FRAME-150,FTPL-150,daily,battery_empty,{battery_item}没有电了。,{battery_item}冇電喇。,battery_item,7,7,true
FRAME-151,FTPL-151,daily,charge_item,我需要给{battery_item}充电。,我要幫{battery_item}叉電。,battery_item,7,7,true
FRAME-152,FTPL-152,daily,repair_item,请帮我修一下{item}。,唔該幫我整下{item}。,item,50,50,true
